source,target,relation
2019/2034,2016/258,references
2019/2034,2016/290,references
2019/2034,2016/291,references
2019/2034,2016/005,references
2019/2034,2002/1606,references
2019/2034,2006/0043,references
2019/2034,2009/0384,references
2019/2034,2009/0138,references
2019/2034,2010/1092,references
2019/2034,2010/1093,references
2019/2034,2010/1095,references
2019/2034,2012/0648,references
2019/2034,2013/0034,references
2019/2034,2013/0575,references
2019/2034,2014/0600,references
2019/2034,2015/0849,references
2019/2034,2016/0679,references
2019/2034,2018/1725,references
2019/2034,2019/0878,references
2019/2034,2019/2033,references
2019/2034,2017/5601,references
2019/2034,2018/0036,references
2022/858,2016/005,references
2022/858,2016/007,references
2022/858,2016/008,references
2022/858,1998/0026,references
2022/858,2010/1095,references
2022/858,2012/0236,references
2022/858,2013/0050,references
2022/858,2013/0575,references
2022/858,2014/0596,references
2022/858,2016/0679,references
2022/858,2017/1129,references
2022/858,2018/1725,references
2022/858,2019/1937,references
2022/858,2019/2034,references
2022/858,2019/2033,references
2022/858,2021/0023,references
2022/858,2020/4982,references
2022/858,2021/0015,references
909/2014,1995/0046,references
909/2014,2001/0528,references
909/2014,2001/0045,references
909/2014,2002/0047,references
909/2014,2003/0071,references
909/2014,2003/0087,references
909/2014,2005/0060,references
909/2014,2006/0070,references
909/2014,2010/0078,references
909/2014,2010/1092,references
909/2014,2010/1093,references
909/2014,2010/1095,references
909/2014,2011/0182,references
909/2014,2012/0648,references
909/2014,2013/0034,references
909/2014,2013/0036,references
909/2014,2013/0575,references
909/2014,2013/1024,references
909/2014,2014/0059,references
909/2014,2014/0600,references
909/2014,2014/0909,references
909/2014,2001/0338,references
2014/65,1993/0022,references
2014/65,1995/0046,references
2014/65,1997/0009,references
2014/65,1998/0257,references
2014/65,2001/0310,references
2014/65,2001/0034,references
2014/65,2001/0045,references
2014/65,2002/0047,references
2014/65,2002/0058,references
2014/65,2002/0087,references
2014/65,2003/0071,references
2014/65,2003/0087,references
2014/65,2004/0109,references
2014/65,2005/0060,references
2014/65,2006/0043,references
2014/65,2006/0073,references
2014/65,2009/0065,references
2014/65,2009/0072,references
2014/65,2009/0073,references
2014/65,2009/0138,references
2014/65,2009/0714,references
2014/65,2009/0715,references
2014/65,2010/0583,references
2014/65,2010/1093,references
2014/65,2010/1094,references
2014/65,2010/1095,references
2014/65,2011/1227,references
2014/65,2012/0030,references
2014/65,2012/0236,references
2014/65,2012/0648,references
2014/65,2012/0966,references
2014/65,2013/0034,references
2014/65,2013/0036,references
2014/65,2013/0575,references
2014/65,2013/1308,references
2014/65,2014/0017,references
2014/65,2014/0049,references
2014/65,2014/0057,references
2014/65,2014/0596,references
2014/65,2014/0600,references
2022/2556,2016/005,references
2022/2556,2009/0110,references
2022/2556,2010/1093,references
2022/2556,2014/0596,references
2022/2556,2014/0600,references
2022/2556,2022/2554,references
2022/2556,2020/5040,references
2022/2556,2021/0020,references
2019/2115,2016/290,references
2019/2115,2002/1606,references
2019/2115,2004/0025,references
2019/2115,2008/1126,references
2019/2115,2010/1095,references
2019/2115,2013/0034,references
2019/2115,2016/0347,references
2019/2115,2016/0908,references
2019/2115,2018/2916,references
2017/565,2016/007,references
2017/565,2016/008,references
2017/565,1995/0046,references
2017/565,2000/0012,references
2017/565,2001/0045,references
2017/565,2002/0058,references
2017/565,2003/0071,references
2017/565,2003/0087,references
2017/565,2004/0039,references
2017/565,2004/0109,references
2017/565,2009/0065,references
2017/565,2009/0072,references
2017/565,2010/1095,references
2017/565,2011/0061,references
2017/565,2011/1227,references
2017/565,2012/0648,references
2017/565,2013/0272,references
2017/565,2013/0011,references
2017/565,2013/0036,references
2017/565,2013/0575,references
2017/565,2014/0049,references
2017/565,2014/0057,references
2017/565,2014/0059,references
2017/565,2014/0596,references
2017/565,2014/0600,references
2017/565,2014/1286,references
2017/565,2015/2365,references
2017/565,2017/0593,references
2017/565,2017/0572,references
2017/589,2010/1095,references
2017/589,2014/0596,references
2017/589,2014/0600,references
2017/589,2017/0565,references
2019/1868,2004/0039,references
2019/1868,2010/1095,references
2019/1868,2011/1227,references
2019/1868,2013/0034,references
2019/1868,2013/0036,references
2019/1868,2013/0575,references
2019/1868,2014/0065,references
2019/1868,2014/0596,references
2019/1868,2014/0600,references
2019/1868,2015/1814,references
2019/1868,2015/0849,references
2019/1868,2017/0590,references
2019/1868,2018/0410,references
2019/1868,2018/0842,references
2019/1868,2018/1046,references
2019/1868,2019/0856,references
2017/584,2010/1095,references
2017/584,2013/0040,references
2017/584,2014/0596,references
2017/584,2014/0600,references
2017/584,2017/0589,references
2022/1220,2010/1095,references
2022/1220,2014/0600,references
2017/2319,2004/0109,references
2017/2319,2014/0596,references
2017/2319,2014/0600,references
2017/2320,2004/0109,references
2017/2320,2014/0596,references
2017/2320,2014/0600,references
2017/2318,2004/0109,references
2017/2318,2014/0596,references
2017/2318,2014/0600,references
2017/1111,2010/1095,references
2017/593,2003/0071,references
2017/593,2004/0109,references
2017/593,2009/0065,references
2017/593,2010/1095,references
2017/593,2011/0061,references
2017/593,2012/0648,references
2017/593,2013/0036,references
2017/593,2015/2365,references
2017/593,2017/0565,references
2017/588,2010/1095,references
2017/588,2014/0600,references
2017/588,2017/0587,references
2017/588,2017/0590,references
2017/575,2010/1095,references
2017/575,2014/0600,references
2017/571,2010/1095,references
2017/571,2013/0040,references
2017/571,2014/0600,references
2017/571,2017/0583,references
2017/571,2017/0587,references
2017/571,2017/0590,references
2017/586,1997/0009,references
2017/586,2010/1095,references
2017/586,2013/0036,references
2017/586,2014/0600,references
2016/824,1995/0046,references
2016/824,2004/0039,references
2016/824,2010/1095,references
2016/824,2014/0600,references
2022/1302,2002/1606,references
2022/1302,2009/0065,references
2022/1302,2009/0138,references
2022/1302,2010/1095,references
2022/1302,2011/0061,references
2022/1302,2012/0648,references
2022/1302,2013/0036,references
2022/1302,2014/0909,references
2022/1302,2016/2341,references
2022/1302,2021/0338,references
2021/1833,2002/1606,references
2021/1833,2012/0648,references
2021/1833,2013/0034,references
2021/1833,2013/0036,references
2021/1833,2013/0149,references
2021/1833,2021/0338,references
2017/1110,2010/1095,references
2017/1110,2017/0571,references
2017/1018,2010/1095,references
2017/1018,2013/0036,references
2017/568,2001/0034,references
2017/568,2003/0071,references
2017/568,2003/0087,references
2017/568,2004/0109,references
2017/568,2009/0065,references
2017/568,2010/1095,references
2017/568,2011/0061,references
2017/568,2014/0596,references
2017/568,2014/0600,references
2021/1254,2011/0061,references
2021/338,2016/290,references
2021/338,2016/005,references
2021/338,2010/1093,references
2021/338,2010/1095,references
2021/338,2011/1227,references
2021/338,2012/0648,references
2021/338,2013/1308,references
2021/338,2013/1379,references
2021/338,2014/0600,references
2021/338,2018/0843,references
2021/338,2019/2034,references
2021/338,2019/0640,references
2021/338,2020/3577,references
2017/2382,2010/1095,references
2017/2382,2013/0036,references
2017/1943,1995/0046,references
2017/1943,2002/0087,references
2017/1943,2005/0060,references
2017/1943,2010/1095,references
2017/1943,2013/0036,references
